[PISTEET]
1.0;-10.0;10.0
2.0;-10.0;5.0
3.0;-10.0;0.0
4.0;-10.0;-5.0
5.0;-5.0;-10.0
6.0;0.0;-10.0
7.0;5.0;-15.0
8.0;10.0;-10.0
9.0;15.0;-5.0
10.0;15.0;0.0
11.0;15.0;5.0
12.0;15.0;10.0
13.0;10.0;10.0
14.0;5.0;10.0
15.0;5.0;15.0
16.0;0.0;15.0
17.0;-5.0;15.0
18.0;-5.0;10.0
19.0;5.0;0.0
20.0;5.0;5.0
21.0;10.0;5.0
22.0;10.0;0.0
23.0;3.6234417;-9.623442
24.0;6.6234417;-9.623442
25.0;-7.0;-4.246884
26.0;-4.0;-4.246884
27.0;-1.0;-4.246884
28.0;2.0;-4.246884
29.0;5.0;-4.246884
30.0;8.0;-4.246884
31.0;11.0;-4.246884
32.0;-7.0;1.129674
33.0;-4.0;1.129674
34.0;-1.0;1.129674
35.0;2.0;1.129674
36.0;13.0;1.129674
37.0;-7.0;6.506232
38.0;-4.0;6.506232
39.0;2.0;6.506232
40.0;8.0;6.506232
41.0;11.0;6.506232
42.0;-2.0;11.88279
43.0;1.0;11.88279
[JANAT]
1.0,2.0
1.0,37.0
2.0,3.0
2.0,32.0
3.0,4.0
3.0,25.0
4.0,5.0
5.0,6.0
5.0,26.0
6.0,7.0
6.0,23.0
6.0,28.0
7.0,8.0
7.0,24.0
8.0,9.0
8.0,31.0
9.0,10.0
10.0,11.0
10.0,36.0
11.0,12.0
11.0,41.0
12.0,13.0
13.0,14.0
13.0,40.0
14.0,15.0
14.0,43.0
15.0,16.0
16.0,17.0
16.0,42.0
17.0,18.0
18.0,1.0
18.0,37.0
19.0,20.0
19.0,35.0
19.0,28.0
20.0,21.0
20.0,40.0
20.0,14.0
21.0,22.0
21.0,36.0
21.0,11.0
21.0,41.0
22.0,19.0
22.0,24.0
23.0,7.0
23.0,24.0
23.0,19.0
24.0,8.0
24.0,19.0
24.0,31.0
25.0,4.0
25.0,5.0
25.0,26.0
26.0,6.0
26.0,27.0
26.0,34.0
27.0,6.0
27.0,28.0
27.0,35.0
28.0,23.0
28.0,35.0
31.0,9.0
31.0,10.0
31.0,36.0
31.0,22.0
32.0,3.0
32.0,25.0
32.0,33.0
33.0,25.0
33.0,26.0
33.0,34.0
34.0,27.0
34.0,39.0
34.0,38.0
35.0,20.0
35.0,39.0
35.0,34.0
36.0,11.0
36.0,22.0
37.0,2.0
37.0,32.0
38.0,18.0
38.0,37.0
38.0,32.0
38.0,33.0
39.0,20.0
39.0,14.0
39.0,42.0
39.0,38.0
40.0,14.0
40.0,21.0
41.0,12.0
41.0,13.0
41.0,40.0
42.0,17.0
42.0,18.0
42.0,38.0
43.0,15.0
43.0,16.0
43.0,42.0
43.0,39.0
[KOLMIOT]
1.0;37.0;18.0
2.0;1.0;37.0
2.0;32.0;37.0
3.0;2.0;32.0
3.0;25.0;32.0
4.0;3.0;25.0
4.0;25.0;5.0
5.0;26.0;6.0
6.0;23.0;7.0
6.0;28.0;23.0
7.0;24.0;8.0
8.0;31.0;9.0
13.0;41.0;12.0
14.0;40.0;13.0
16.0;43.0;15.0
17.0;42.0;16.0
18.0;17.0;42.0
18.0;38.0;42.0
19.0;24.0;22.0
20.0;40.0;21.0
20.0;14.0;40.0
21.0;36.0;11.0
21.0;41.0;11.0
22.0;21.0;36.0
22.0;31.0;36.0
23.0;7.0;24.0
23.0;19.0;24.0
24.0;8.0;31.0
24.0;22.0;31.0
25.0;5.0;26.0
25.0;32.0;33.0
25.0;26.0;33.0
26.0;27.0;6.0
26.0;27.0;34.0
26.0;33.0;34.0
27.0;6.0;28.0
27.0;34.0;35.0
27.0;28.0;35.0
28.0;23.0;19.0
28.0;35.0;19.0
31.0;9.0;10.0
31.0;36.0;10.0
32.0;37.0;38.0
32.0;33.0;38.0
33.0;38.0;34.0
34.0;35.0;39.0
35.0;19.0;20.0
35.0;39.0;20.0
36.0;10.0;11.0
37.0;18.0;38.0
38.0;42.0;39.0
38.0;34.0;39.0
39.0;20.0;14.0
40.0;13.0;41.0
40.0;21.0;41.0
41.0;11.0;12.0
42.0;16.0;43.0
42.0;43.0;39.0
43.0;14.0;15.0
43.0;39.0;14.0
